
2025-07-29 21:38:35 | INFO     | main                 | Initializing GUI application
2025-07-29 21:38:35 | INFO     | model_manager        | ModelManager initialized with device: cuda
2025-07-29 21:38:35 | INFO     | model_manager        | CUDA GPU available: NVIDIA GeForce RTX 4070 Laptop GPU
2025-07-29 21:38:35 | INFO     | database_manager     | DatabaseManager initializing with database: production_data.db
2025-07-29 21:38:35 | INFO     | database_manager     | Database schema initialized successfully: production_data.db
2025-07-29 21:38:36 | INFO     | main                 | GUI application initialized successfully
2025-07-29 21:39:05 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 0.0s)
2025-07-29 21:39:05 | INFO     | database_manager     | Calculated performance: 100.0% (no production cycles yet - using default)
2025-07-29 21:39:05 | INFO     | database_manager     | Calculated quality: 100.0% (0 good parts of 0 total)
2025-07-29 21:39:05 | INFO     | database_manager     | Calculated OEE: 100.0% (A:100.0% × P:100.0% × Q:100.0%)
2025-07-29 21:39:05 | INFO     | main                 | New shift #1 started successfully
2025-07-29 21:39:05 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 0.0s)
2025-07-29 21:39:05 | INFO     | database_manager     | Calculated performance: 100.0% (no production cycles yet - using default)
2025-07-29 21:39:05 | INFO     | database_manager     | Calculated quality: 100.0% (0 good parts of 0 total)
2025-07-29 21:39:05 | INFO     | database_manager     | Calculated OEE: 100.0% (A:100.0% × P:100.0% × Q:100.0%)
2025-07-29 21:39:12 | INFO     | main                 | User selected model file: C:/Work_Folder/Python_Code/Project_Code/detection software v1/models/trained_yolo11n.pt
2025-07-29 21:39:12 | INFO     | main                 | Starting model loading in background thread
2025-07-29 21:39:12 | INFO     | model_manager        | Loading YOLO model: C:/Work_Folder/Python_Code/Project_Code/detection software v1/models/trained_yolo11n.pt
2025-07-29 21:39:13 | INFO     | model_manager        | YOLO model loaded successfully in 0.82s
2025-07-29 21:39:13 | INFO     | model_manager        | Starting model warm-up process...
2025-07-29 21:39:16 | INFO     | model_manager        | Model warm-up completed in 3.42s (3 inference cycles)
2025-07-29 21:39:20 | INFO     | main                 | Detection triggered - First cycle of shift
2025-07-29 21:39:21 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:39:21 | INFO     | inference_engine     | Inference completed in 270.2ms - Status: DEFECT DETECTED
2025-07-29 21:39:21 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:39:21 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 16.0s)
